업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
할머니가 차려주는 밥상,"서울특별시 강서구 공항대로 290, 2층 (내발산동, 우장산동)",한식,한정식,267,우장산동,236636639
푸드엠파이어 이대서울병원 청진동순두부,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",한식,순두부찌개,138.73,발산제1동,221352465
푸드엠파이어 이대서울병원 남산왕돈가스,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",경양식,돈가스,138.73,발산제1동,221352465
푸드엠파이어 이대서울병원 불고기명가,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",한식,불고기,143.87,발산제1동,221352465
청북경오리,"서울특별시 강서구 마곡동로4길 15, 엠팰리체 3층 302~304호 (마곡동)",중국식,짬뽕,349.84,가양제1동,236615892
차이(Chai)797 김포롯데몰점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 GF층 (방화동)",중국식,탕수육,237.5,방화제2동,261165377
만배아리랑,"서울특별시 강서구 화곡로18길 24, 1층 111,113호 (화곡동, 강서뉴타워)",한식,보쌈,75.86,화곡제1동,226073126
방화초록동원칼국수,"서울특별시 강서구 금낭화로 128, 1층 (방화동)",한식,칼국수,107.52,방화제3동,226610910
주식회사 한우1번지,"서울특별시 강서구 양천로 564, 등촌동두산위브센티움 1층 119호 (등촌동)",한식,소고기,275,등촌제1동,226680001
대박집,"서울특별시 강서구 강서로 489-4, 1층 (가양동, 1동)",한식,삼겹살,187.3,가양제1동,236628292
푸주도가니,"서울특별시 강서구 까치산로 183, 1층 (화곡동)",한식,도가니탕,257.11,화곡제6동,226063677
주식회사 땡순이,"서울특별시 강서구 마곡중앙로 161-22, 마곡일성트루엘플래닛 2층 201~204호 (마곡동)",한식,아구찜,203.51,가양제1동,226593020
소담촌 마곡점,"서울특별시 강서구 마곡중앙6로 93, 4층 403호 (마곡동, 가양 1동 열린프라자)",한식,샤브샤브,300.15,가양제1동,236615566
덕인관 김포밥상,"서울특별시 강서구 하늘길 38, MF층 한식코너호 (방화동, 김포공항, 롯데몰, 스카이시티)",한식,뼈없는 갈비탕,217.17,방화제2동,261165327
발산역맛찬들왕소금구이,"서울특별시 강서구 강서로 375-7, 1~3층 (가양동, 1동)",한식,삼겹살,576.09,가양제1동,236615026
화로구이,"서울특별시 강서구 강서로 374, 1~3층 (등촌동)",한식,돼지갈비,964.75,등촌제3동,236633292
포베이 강서점,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 4층 (등촌동)",경양식,베트남쌀국수,185.11,등촌제1동,236630887
