식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그
낙지와볼테기,양천구,N,N,N,N,N,"모범음식점,안심식당"
노란상소갈비,강남구,Y,N,N,N,Y,모범음식점
디코레 북창동 순두부,중구,N,N,N,N,Y,"모범음식점,포장가능"
명동칼국수,금천구,Y,Y,N,N,N,모범음식점
소천지,구로구,N,N,N,N,N,모범음식점
위닝,용산구,N,N,N,N,N,모범음식점
인생설렁탕,동대문구,N,N,N,N,N,포장가능
미스터 향,강남구,Y,Y,N,N,Y,포장가능
진궁,강남구,Y,Y,N,N,Y,포장가능
칭닌,마포구,N,N,N,N,N,
애슐리퀸즈,강서구,Y,N,N,N,N,"모범음식점,안심식당"
짚불구이 본가,송파구,N,N,N,N,N,
상하이몽,영등포구,N,N,N,N,N,모범음식점
회뜨는집,강동구,N,N,N,N,N,모범음식점
예가낙지마을,구로구,Y,Y,N,N,Y,모범음식점
차이웬,은평구,N,N,N,N,N,모범음식점
삼다돈가,관악구,N,N,N,N,N,"모범음식점,안심식당"
예소반,관악구,Y,N,N,Y,Y,"모범음식점,안심식당"
북창동순두부,송파구,Y,Y,N,N,N,"모범음식점,포장가능"
"육회, 꽃피다",서대문구,N,N,N,N,N,"모범음식점,안심식당"
나주곰탕냉면,서대문구,N,N,N,N,N,모범음식점
하이라 미스터 왕왕,강남구,N,N,N,N,N,
황금코다리,종로구,N,N,N,N,N,"모범음식점,안심식당"
청량리고기마을,동대문구,N,N,N,N,N,모범음식점
남도복국,중구,N,Y,N,N,N,모범음식점
카페마마스,강남구,Y,Y,N,N,N,포장가능
한식부페가득드림도시락,송파구,N,N,N,N,N,모범음식점
탈리테이스티인디안,중구,Y,Y,N,N,Y,
법성포영광굴비,서대문구,N,N,N,N,N,모범음식점
국수명가,서초구,N,N,N,N,N,모범음식점
눈꽃초밥,관악구,N,N,N,N,N,"모범음식점,안심식당"
현대북어,강남구,N,N,N,N,N,
두부의추억151,서대문구,N,N,N,N,N,모범음식점
풍년오리,관악구,N,N,N,N,N,"모범음식점,안심식당,트립어드바이저"
전주 감자탕,송파구,Y,Y,N,N,Y,모범음식점
돌판구이 또바기,강동구,N,N,N,N,N,"모범음식점,안심식당"
서귀포화로구이,양천구,Y,Y,N,N,Y,모범음식점
퍼틴,송파구,N,N,N,N,N,모범음식점
안박사 남원추어탕,강남구,N,N,N,N,N,모범음식점
스윗밸런스,종로구,Y,Y,N,N,Y,"모범음식점,안심식당,포장가능"
힘찬장어,도봉구,N,N,N,N,N,"모범음식점,안심식당"
단아한정식,동작구,Y,Y,N,N,Y,"안심식당,트립어드바이저"
아그라,용산구,Y,Y,N,N,Y,"모범음식점,블루리본,씨트립,트립어드바이저,포장가능"
처마끝 하늘풍경,종로구,N,N,N,Y,Y,"모범음식점,안심식당"
옥정,종로구,N,Y,N,Y,Y,"모범음식점,안심식당"
장수갈매기,마포구,N,N,N,Y,Y,"모범음식점,안심식당,트립어드바이저"
롯데리아,중구,N,N,N,Y,N,
그림나베,강남구,Y,Y,N,Y,Y,"모범음식점,포장가능"
땡순이아구찜,강서구,N,N,N,N,N,모범음식점
이세돈가스,성북구,N,N,N,Y,N,모범음식점
고바우소곱창,노원구,Y,N,N,N,Y,"모범음식점,포장가능"
들풀식당,종로구,N,N,N,N,N,"모범음식점,씨트립,안심식당"
돈족골,송파구,N,N,N,N,N,모범음식점
광양불고기,송파구,Y,N,N,Y,Y,모범음식점
진풍정,강남구,Y,Y,N,N,Y,
돕감자탕전문점,광진구,N,Y,N,N,Y,"모범음식점,안심식당"
길농원,용산구,Y,Y,N,N,N,포장가능
양미옥,중구,N,N,N,N,N,"모범음식점,블루리본"
연평도산꽃게해물탕,성동구,Y,N,N,N,N,"모범음식점,씨트립"
불킹해물요리전문점,마포구,Y,N,N,N,N,"모범음식점,안심식당"
함흥냉면,영등포구,Y,N,N,Y,Y,"모범음식점,안심식당,위생등급제 지정업소,트립어드바이저"
삼족오,강북구,N,N,N,N,N,모범음식점
아웃백스테이크하우스,노원구,N,N,N,N,Y,"모범음식점,씨트립,포장가능"
아웃백스테이크하우스,송파구,N,N,N,N,Y,
알루메,송파구,N,Y,N,Y,Y,모범음식점
면천추어탕,동대문구,Y,N,N,Y,N,모범음식점
진한방삼계탕만나정,광진구,Y,N,N,Y,N,"모범음식점,안심식당"
북악정,종로구,Y,N,N,Y,Y,모범음식점
레드브릭,서초구,Y,Y,N,N,Y,"모범음식점,블루리본"
서초장어타운,서초구,N,N,N,N,N,"모범음식점,블루리본"
부일관,노원구,Y,Y,Y,N,Y,모범음식점
아오끼,강남구,N,N,N,Y,N,모범음식점
신사뻘낙지,강남구,Y,Y,N,Y,Y,모범음식점
샤브오,서초구,N,N,N,N,N,"트립어드바이저,포장가능"
지호한방삼계탕,강남구,Y,N,N,Y,N,"모범음식점,트립어드바이저"
봉피양,송파구,N,N,N,N,N,"모범음식점,미쉐린 가이드"
그랜드 인터컨티넨탈 서울 파르나스 로비 라운지 & 바,강남구,Y,Y,N,Y,Y,
이태원천상,용산구,Y,Y,N,N,Y,"모범음식점,포장가능"
백산골 생삼겹살,은평구,N,N,N,N,N,
장인미역,송파구,N,Y,N,N,Y,모범음식점
조마루감자탕,동대문구,N,Y,N,N,N,"모범음식점,포장가능"
종수네춘천숯불닭갈비,강남구,N,N,N,N,N,
호보식당,강남구,Y,Y,N,N,Y,모범음식점
두레유,종로구,Y,Y,N,N,Y,모범음식점
은불판참숯구이,송파구,N,N,N,N,N,"모범음식점,포장가능"
궁중한우,성동구,Y,N,N,N,N,모범음식점
일미리금계찜닭,동작구,N,Y,N,Y,N,"모범음식점,안심식당,포장가능"
태진옥,중구,N,N,N,N,N,"모범음식점,트립어드바이저"
조선화로집,동작구,Y,Y,N,N,Y,"모범음식점,안심식당,포장가능"
김명자굴국밥전문점,용산구,N,N,N,N,N,모범음식점
차숙이 갈비,강남구,N,N,N,N,N,포장가능
하늘찬,강서구,N,N,N,N,N,모범음식점
가빈,구로구,N,N,N,N,N,모범음식점
오발탄,강남구,Y,N,N,N,Y,포장가능
낭만각,양천구,Y,Y,N,N,N,모범음식점
반가 백암순대,성동구,N,N,N,N,N,
능이네 능이버섯백숙 삼계탕 추어탕,구로구,N,N,N,N,N,모범음식점
명가,송파구,N,N,N,N,N,모범음식점
속리산염소요리전문점,금천구,Y,Y,N,N,Y,"모범음식점,포장가능"
청송면옥,서대문구,N,N,N,N,N,
대청마루,강서구,N,N,N,N,N,모범음식점
공주 기사식당,중랑구,N,N,N,N,N,모범음식점
석파랑,종로구,Y,Y,N,N,Y,"모범음식점,블루리본,씨트립,안심식당"
조선갈비실록,구로구,N,N,N,N,N,
명가해물짬뽕,성북구,Y,N,N,N,N,"모범음식점,포장가능"
교양식사,송파구,N,Y,N,N,Y,모범음식점
선유삼계탕,영등포구,N,N,N,N,N,"모범음식점,안심식당"
예향정,송파구,Y,Y,N,N,Y,"모범음식점,포장가능"
한조분식,용산구,N,N,N,N,N,
아바이토종순대국,노원구,N,N,N,N,N,모범음식점
여의도 진진,영등포구,N,N,N,N,N,"모범음식점,트립어드바이저"
돈가네,송파구,N,N,N,N,N,
태평양수산,성동구,N,N,N,N,N,모범음식점
농협안심한우마을,관악구,Y,Y,N,N,N,"모범음식점,안심식당"
갯벌화로구이,영등포구,N,N,N,N,N,
남산왕돈까스,강서구,N,N,N,N,N,"모범음식점,안심식당"
골목집,강남구,Y,Y,N,N,N,
갈맷길 물총 칼국수,송파구,N,N,N,N,N,포장가능
속초집,중구,N,N,N,N,N,모범음식점
초원,용산구,N,Y,N,N,Y,모범음식점
청기와명가감자탕,구로구,N,N,N,N,N,"모범음식점,안심식당"
한사라참치,송파구,Y,Y,N,N,Y,모범음식점
정릉곤드레밥,성북구,Y,Y,N,N,Y,모범음식점
대패꽃필무렵,송파구,N,Y,N,N,Y,모범음식점
이구갈비,중구,N,N,N,N,Y,모범음식점
무교동낙지,광진구,Y,N,N,N,Y,"모범음식점,씨트립,안심식당,트립어드바이저,포장가능"
이가네낙지마당,구로구,N,N,N,N,N,모범음식점
팔미낙지한마리수제비,노원구,N,N,N,N,N,모범음식점
명인갈비,강북구,Y,Y,N,N,Y,"모범음식점,포장가능"
주니어스치즈케이크앤디저트,광진구,N,N,N,N,N,
전주웰빙한식부페,금천구,N,N,N,N,N,모범음식점
라쿠치나,용산구,Y,N,N,N,N,"모범음식점,미쉐린 가이드,블루리본"
부산갈비,용산구,N,Y,N,N,Y,"모범음식점,트립어드바이저"
미소야,강남구,N,N,N,N,N,
포몬스,광진구,Y,Y,N,N,N,"모범음식점,포장가능"
웰니스로,서초구,Y,N,N,Y,N,
신선설농탕,서초구,Y,N,N,N,Y,"모범음식점,포장가능"
신선설농탕,광진구,Y,N,N,Y,Y,"모범음식점,포장가능"
제주 오겹살 왕돌구이집,송파구,Y,Y,N,N,Y,
대복,양천구,N,N,N,N,N,"모범음식점,씨트립,안심식당,트립어드바이저"
남도향,영등포구,Y,N,N,Y,N,안심식당
놀부부대찌개,강남구,N,N,N,Y,N,"모범음식점,씨트립,포장가능"
봉추찜닭,용산구,N,N,N,N,N,"모범음식점,포장가능"
쌀쌀맞은닭,용산구,Y,Y,N,N,Y,"모범음식점,포장가능"
설악칡냉면,용산구,N,N,N,Y,N,모범음식점
이강분무교동낙지나라,중랑구,N,N,N,N,N,"모범음식점,씨트립"
가족천하,영등포구,N,N,N,Y,N,"모범음식점,안심식당"
매일낙지,강남구,N,N,N,Y,N,
불이아,강남구,N,N,N,Y,N,모범음식점
진동둔횟집,서초구,N,N,N,N,N,"블루리본,트립어드바이저"
인사동두부마을,종로구,N,N,N,N,N,"모범음식점,씨트립,안심식당"
춘향골남원추어탕,성북구,N,N,N,Y,N,"모범음식점,안심식당"
남원추어탕,양천구,N,N,N,N,N,"모범음식점,안심식당"
기왕생고기,성동구,N,N,N,Y,N,모범음식점
대경미담,송파구,N,N,N,N,N,모범음식점
가나다라생고기,성북구,N,N,N,N,N,모범음식점
고깃집,강남구,N,Y,N,N,N,
소청도양갈비,송파구,Y,Y,N,N,Y,모범음식점
명태어장,강동구,Y,N,N,N,Y,"모범음식점,포장가능"
금수복국,강남구,Y,Y,N,N,Y,"모범음식점,블루리본,트립어드바이저,포장가능"
송가네,강동구,N,N,N,Y,N,"모범음식점,안심식당"
시골보쌈&감자옹심이,마포구,Y,N,N,N,N,"모범음식점,안심식당"
건강한하루김밥,동작구,N,N,N,N,N,포장가능
힘냉면록,성동구,N,N,N,N,N,"모범음식점,트립어드바이저"
