식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그
장수한방삼계탕,영등포구,Y,Y,N,Y,Y,트립어드바이저
파리바게뜨,영등포구,N,N,N,Y,N,포장가능
김가네김밥,영등포구,N,N,N,N,N,트립어드바이저
교촌치킨,영등포구,N,N,N,Y,N,"트립어드바이저,포장가능"
삼김,영등포구,Y,Y,N,Y,Y,"트립어드바이저,포장가능"
몽이닭발,영등포구,N,Y,N,Y,Y,
태영생막창,영등포구,Y,N,N,Y,N,
브레드05,영등포구,N,N,N,Y,N,
치킨장인,영등포구,N,Y,N,Y,N,
미니닭날개구이,영등포구,N,Y,N,Y,N,
신누리떡볶이,영등포구,N,N,N,Y,N,
대림호프,영등포구,N,N,N,N,N,
소도,영등포구,N,N,N,Y,N,트립어드바이저
하남두부마을,영등포구,Y,N,N,Y,N,
산삼골오리집,영등포구,Y,Y,N,Y,N,
이디야커피,영등포구,N,N,N,Y,N,"위생등급제 지정업소,포장가능"
매일낙지,영등포구,N,N,N,Y,N,
짜우리아,영등포구,Y,N,N,Y,N,
한양원,영등포구,Y,Y,N,Y,Y,트립어드바이저
부추순대국,영등포구,N,N,N,Y,N,
명태어장,영등포구,N,N,N,Y,N,안심식당
서울깍두기,영등포구,N,N,N,Y,N,
기와집사천요리,영등포구,N,N,N,N,N,
몽중인B1,영등포구,N,N,N,N,N,
친구네정육식당,영등포구,N,N,N,Y,N,
핫이슈에프앤비,영등포구,N,N,N,N,N,포장가능
마녀의컵플하우스,영등포구,N,N,N,Y,N,
포아시아,영등포구,N,N,N,N,N,
신참떡볶이,영등포구,N,N,N,N,N,포장가능
벨라다봉,영등포구,Y,N,N,Y,N,
짝태&노가리,영등포구,N,N,N,Y,N,
숙자네대구탕북어국,영등포구,N,N,N,Y,N,
제일식당,영등포구,N,N,N,Y,N,
일래향양꼬치,영등포구,Y,N,N,Y,N,
소백양샤브,영등포구,N,N,N,N,N,
인화물만두,영등포구,N,N,N,N,N,
21세기우리바다수산,영등포구,N,N,N,Y,Y,포장가능
아름다운커피,영등포구,N,N,N,Y,N,
오발탄,영등포구,N,N,N,Y,N,안심식당
110닭뼈구이,영등포구,N,N,N,N,N,
고반식당,영등포구,Y,Y,N,Y,Y,트립어드바이저
삼성식당,영등포구,N,N,N,Y,N,
옥상술집,영등포구,N,Y,N,Y,N,
미소야,영등포구,Y,N,N,Y,N,포장가능
아바이아매장국집,영등포구,N,N,N,Y,N,
경성양꼬치,영등포구,Y,Y,N,Y,N,"트립어드바이저,포장가능"
카페파스텔,영등포구,N,Y,N,Y,Y,
천지소고기국밥,영등포구,N,N,N,Y,N,
브루테크네,영등포구,N,N,N,Y,N,
후퉁꼬치튀김(胡同炸串),영등포구,N,N,N,N,N,
동순각,영등포구,N,N,N,Y,N,
사조참치,영등포구,N,N,N,Y,N,
홍콩,영등포구,N,N,N,Y,N,트립어드바이저
일구칠구동태매운탕,영등포구,N,N,N,N,N,
여의도샤브샤브,영등포구,N,N,N,Y,N,
용설왕족발,영등포구,N,N,N,Y,N,
커피코트동여의도점,영등포구,N,N,N,N,N,
덕수관,영등포구,N,N,N,Y,N,
파리바게뜨,영등포구,N,N,N,Y,N,
동네사랑방,영등포구,N,N,N,Y,N,
돈돼지복돼지,영등포구,N,N,N,N,N,
산하신승부,영등포구,Y,N,N,Y,N,포장가능
들마루,영등포구,Y,N,N,Y,Y,
스시솔,영등포구,N,N,N,Y,N,
파리바게뜨,영등포구,N,N,N,Y,N,
사랑방기사식당,영등포구,N,N,N,Y,N,
팬더커피숍,영등포구,N,N,N,Y,N,
드래프트,영등포구,N,N,N,Y,N,
복만루,영등포구,Y,N,N,N,Y,
진진,영등포구,N,N,N,Y,Y,트립어드바이저
마도,영등포구,N,N,N,Y,N,
여의도곱창,영등포구,N,Y,N,Y,Y,트립어드바이저
현래장,영등포구,N,N,N,Y,N,
호프데이,영등포구,N,N,N,Y,N,
필링,영등포구,N,N,N,Y,N,
도림동두부마을,영등포구,N,N,N,Y,N,
성지식당,영등포구,N,N,N,Y,N,
명동식당,영등포구,Y,N,N,Y,N,
카페에스토,영등포구,N,Y,N,Y,N,
대광등심,영등포구,N,N,N,Y,N,
OEC통치킨,영등포구,Y,Y,N,N,Y,
파리바게뜨,영등포구,N,N,N,Y,N,
포메인,영등포구,N,N,N,Y,N,트립어드바이저
주빈,영등포구,N,N,N,N,N,
커스토커피,영등포구,N,N,N,Y,N,
마을,영등포구,N,Y,N,Y,Y,
대한옥,영등포구,N,N,N,Y,N,
만나손칼국수,영등포구,Y,N,N,Y,Y,
오미(OMI),영등포구,N,N,N,N,N,
엔제리너스,영등포구,N,N,N,N,N,
투다리,영등포구,N,N,N,Y,N,
김미자당진아구동태찜탕,영등포구,Y,Y,N,Y,N,포장가능
허니 브라운,영등포구,N,N,N,N,N,
오복식당,영등포구,N,N,N,N,N,
서울식당,영등포구,N,N,N,N,N,
커피디엔에이로스팅컴퍼니,영등포구,N,N,N,Y,N,
슈퍼곱창,영등포구,N,N,N,Y,N,
종로김밥,영등포구,N,N,N,Y,N,포장가능
에스씨커피,영등포구,N,N,N,N,N,
참나무숯불통닭,영등포구,N,N,N,Y,N,
선비,영등포구,N,N,N,Y,N,"안심식당,위생등급제 지정업소"
110양꼬치,영등포구,N,N,N,Y,N,
이화수전통육개장,영등포구,N,Y,N,N,Y,
여백복고호프,영등포구,Y,N,N,Y,N,
장군주먹고기,영등포구,N,N,N,Y,N,
퀴진알,영등포구,Y,Y,N,Y,Y,
청정밀,영등포구,N,N,N,Y,N,
일호면옥,영등포구,Y,N,N,Y,Y,안심식당
마산아구찜,영등포구,N,N,N,N,N,안심식당
컬쳐커피,영등포구,Y,Y,N,N,Y,
헤이커피,영등포구,N,Y,N,Y,N,
형제숯불구이,영등포구,N,N,N,Y,N,
본가 김치찜,영등포구,N,N,N,Y,N,
서울콩나물해장국,영등포구,N,N,N,N,N,
어구이,영등포구,N,N,N,N,N,
이오카츠,영등포구,Y,Y,N,N,N,트립어드바이저
카페엔,영등포구,N,N,N,N,N,
후루룩,영등포구,N,N,N,Y,N,트립어드바이저
흥부닭강정,영등포구,N,N,N,N,N,포장가능
능원오리 숯불갈비,영등포구,N,N,N,Y,N,
깡장양곱창,영등포구,Y,Y,N,Y,Y,
육회관,영등포구,N,N,N,N,N,
청계집,영등포구,N,N,N,N,N,
커짜이라이,영등포구,Y,Y,N,Y,Y,
순풍샤브샤브,영등포구,N,N,N,Y,N,
고디바IFC몰,영등포구,N,N,N,N,N,
티로프IFC점(TEA LOAF),영등포구,N,N,N,N,N,
삼호핫오리,영등포구,N,N,N,N,N,
토프레소,영등포구,N,N,N,N,N,
자연생국수,영등포구,N,N,N,N,N,
카페 이루다,영등포구,N,N,N,N,N,
아모르카페,영등포구,N,N,N,Y,N,
연스토랑,영등포구,N,Y,N,N,N,
가시리,영등포구,Y,N,N,Y,Y,모범음식점
대복래,영등포구,N,N,N,N,N,
소꼬치BAR,영등포구,N,N,N,N,N,
윤가네식당,영등포구,N,N,N,N,N,
훠소훠코우,영등포구,N,N,N,Y,N,
연길양꼬치,영등포구,N,Y,N,N,Y,
마라유혹,영등포구,N,N,N,N,N,
오프로앤커피(5proAcoffee),영등포구,N,N,N,N,N,
자매 초두부,영등포구,N,N,N,N,N,
싱싱해포차,영등포구,N,N,N,Y,N,
피자선생,영등포구,N,N,N,N,N,
미니호프,영등포구,N,N,N,N,N,
한끼한죽,영등포구,Y,N,N,N,N,
한결비빔밥,영등포구,N,N,N,N,N,
램브라튼,영등포구,Y,Y,N,Y,Y,
삼육공,영등포구,N,N,N,N,N,
밍1956,영등포구,N,N,N,Y,N,
어울림식당,영등포구,N,Y,N,N,N,
장군주먹고기,영등포구,N,Y,N,N,Y,
금룡,영등포구,N,N,N,Y,N,
향토,영등포구,N,N,N,N,N,
오미식당,영등포구,N,N,N,Y,N,
송옥,영등포구,N,N,N,N,N,
온더보더,영등포구,N,Y,N,Y,N,"씨트립,안심식당,으뜸시설,트립어드바이저"
맛있는남도,영등포구,N,N,N,N,N,
오한수우육면가,영등포구,N,N,N,N,N,
쥐풍수타면,영등포구,N,N,N,N,N,
오마뎅,영등포구,N,N,N,Y,N,트립어드바이저
마라강호,영등포구,N,N,N,N,N,
투썸플레이스,영등포구,N,Y,N,Y,N,
남도고깃간,영등포구,Y,Y,N,Y,Y,안심식당
연변냉면,영등포구,N,N,N,Y,N,
삼태기삼겹살,영등포구,N,N,N,Y,N,트립어드바이저
서글렁탕,영등포구,N,N,N,Y,N,"씨트립,트립어드바이저"
풍천장어구이,영등포구,Y,N,N,Y,N,트립어드바이저
미소야,영등포구,N,N,N,Y,N,
조원,영등포구,N,N,N,Y,N,
조스샌드위치앤커피,영등포구,N,N,N,N,N,
네네치킨,영등포구,Y,Y,N,Y,Y,포장가능
유쾌한접시,영등포구,N,N,N,N,N,
이디야커피,영등포구,Y,Y,N,Y,N,"위생등급제 지정업소,포장가능"
벨디타마카롱,영등포구,N,N,N,Y,N,
찰진한우,영등포구,Y,Y,N,Y,Y,
스시혜정,영등포구,Y,N,N,Y,Y,
어촌생선구이코다리굴밥,영등포구,N,N,N,Y,N,
만리장성,영등포구,N,N,N,N,N,
안도삼천리냉면,영등포구,N,N,N,Y,N,
냅다청양집,영등포구,N,Y,N,Y,N,포장가능
국민생고기,영등포구,N,N,N,N,N,
인우떡볶이,영등포구,N,N,N,Y,N,
본죽,영등포구,N,Y,N,Y,N,포장가능
Pizza Rodem CafeRodem,영등포구,N,N,N,N,N,
마포곱창,영등포구,Y,Y,N,Y,Y,
안동국시,영등포구,N,N,N,Y,N,
벽촌숯불갈매기살,영등포구,N,N,N,Y,N,
그릴종고산,영등포구,N,N,N,Y,N,안심식당
바다만찬,영등포구,Y,N,N,Y,N,
등촌샤브칼국수,영등포구,Y,N,N,Y,N,"트립어드바이저,포장가능"
이타마에,영등포구,Y,Y,N,Y,Y,트립어드바이저
여수해물낙지,영등포구,N,N,N,Y,N,
트윈스카페,영등포구,N,Y,N,Y,N,
고봉삼계탕,영등포구,N,N,N,Y,N,
서울 순대국,영등포구,N,N,N,Y,N,
목포이모네,영등포구,N,N,N,Y,N,
호운래,영등포구,N,N,N,Y,N,
대홍샤브샤브뷔페,영등포구,N,N,N,Y,N,
달맞이꽃게탕,영등포구,N,N,N,Y,N,
만두사랑,영등포구,N,N,N,N,N,
연안식당,영등포구,Y,Y,N,Y,Y,포장가능
파머스빈,영등포구,N,Y,N,Y,N,포장가능
동산손만두,영등포구,N,N,N,N,N,
비어바나,영등포구,N,Y,N,Y,Y,
술쟁이,영등포구,N,N,N,Y,N,
크레이지후라이,영등포구,N,N,N,Y,Y,
사랑채 얼음 막걸리,영등포구,N,N,N,N,Y,
라이프스커피,영등포구,N,N,N,Y,N,
안도오리,영등포구,N,N,N,N,N,
속초집,영등포구,N,N,N,Y,N,
옛맛손칼국수,영등포구,N,N,N,Y,N,
명륜진사갈비,영등포구,N,N,N,Y,N,
고향갈비,영등포구,N,N,N,Y,N,
일등해장국,영등포구,N,N,N,Y,N,
대교반점,영등포구,Y,N,N,Y,Y,
청석골,영등포구,N,N,N,Y,N,
은성회관,영등포구,Y,N,N,Y,Y,트립어드바이저
진미철판구이,영등포구,N,N,N,Y,N,
금강식당,영등포구,N,N,N,Y,N,트립어드바이저
토방,영등포구,N,N,N,Y,N,트립어드바이저
장미의집,영등포구,N,Y,N,Y,Y,
모랫말칼국수보쌈,영등포구,N,N,N,Y,N,
시골쌈밥,영등포구,Y,N,N,Y,N,
양남 한우 정육식당,영등포구,N,N,N,Y,N,
백두산감자탕&장군보쌈,영등포구,N,N,N,Y,N,
호호미역,영등포구,N,Y,N,Y,Y,
여의도 생고기,영등포구,Y,Y,N,Y,Y,"트립어드바이저,포장가능"
돈사랑터,영등포구,N,N,N,Y,N,
메종드팡,영등포구,N,N,N,Y,N,
공주칼국수,영등포구,Y,Y,N,Y,N,
유성반점,영등포구,Y,N,N,Y,N,
제일어버이순대,영등포구,N,N,N,Y,N,
장어세상,영등포구,Y,N,N,Y,Y,
입큰오리,영등포구,N,N,N,Y,N,포장가능
명숙고향집,영등포구,N,N,N,Y,N,
왕기마라향과,영등포구,Y,N,N,Y,Y,
와커치킨,영등포구,N,N,N,Y,N,
희락,영등포구,N,N,N,N,N,
동원참치,영등포구,N,N,N,Y,N,
이가네족발보쌈,영등포구,N,N,N,Y,N,
실비식당,영등포구,N,N,N,Y,N,
착한맛집,영등포구,N,N,N,N,N,
민이식당,영등포구,N,N,N,Y,N,
원이네맷돌빈대떡&닭갈비,영등포구,N,N,N,Y,N,
행복한밥집,영등포구,N,N,N,Y,N,
진달래반점,영등포구,N,N,N,Y,N,
동네짜장,영등포구,N,N,N,Y,N,
폴앤폴리나,영등포구,N,N,N,Y,N,포장가능
맛있는족발맛족맞족본점,영등포구,N,N,N,N,N,
고동치,영등포구,N,N,N,Y,N,트립어드바이저
원당감자탕,영등포구,Y,Y,N,Y,Y,포장가능
하루나,영등포구,Y,N,N,Y,N,
림푸드,영등포구,N,N,N,N,N,
녹향샤브샤브,영등포구,N,N,N,Y,N,트립어드바이저
동우황태북어국,영등포구,N,N,N,Y,N,
권수산,영등포구,Y,Y,N,Y,Y,
양평서울해장국,영등포구,N,Y,N,N,N,
뜨는우리집,영등포구,Y,N,N,Y,Y,
하노,영등포구,N,N,N,Y,N,
백두참치,영등포구,N,N,N,Y,N,
청미일식,영등포구,Y,Y,N,Y,Y,
성하식당,영등포구,N,N,N,Y,N,
킴스라이스,영등포구,Y,N,N,Y,Y,
신강강술래,영등포구,N,N,N,N,N,포장가능
강일식,영등포구,Y,Y,N,Y,Y,안심식당
만복국수집,영등포구,N,N,N,Y,N,
콩두,영등포구,N,N,N,Y,N,
라부에노,영등포구,N,Y,N,Y,Y,
큰맘할매순대국,영등포구,N,N,N,Y,N,
비비큐,영등포구,Y,N,N,Y,N,"씨트립,트립어드바이저,포장가능"
달인곱창,영등포구,N,N,N,Y,N,
구아이,영등포구,N,Y,N,Y,N,트립어드바이저
우미관,영등포구,N,N,N,Y,N,
브레드밀,영등포구,N,N,N,Y,N,
펍스텔라,영등포구,Y,Y,N,Y,N,포장가능
고씨네,영등포구,N,N,N,Y,N,포장가능
혼밥대장,영등포구,Y,Y,N,Y,Y,
커피빈,영등포구,N,N,N,Y,N,포장가능
롤링핀,영등포구,Y,Y,N,N,Y,
래은미니요리&양꼬치,영등포구,N,N,N,N,N,
여의도돈까스,영등포구,N,N,N,Y,N,
고기굽는목공소,영등포구,N,N,N,Y,N,
왕돈까스&왕냉면,영등포구,N,N,N,Y,N,
도르가,영등포구,N,N,N,Y,N,
텐동 호우야,영등포구,Y,Y,N,Y,Y,
그대와고기,영등포구,N,Y,N,Y,N,
소네츠(SONNETS),영등포구,N,N,N,N,N,
바른치킨,영등포구,N,N,N,Y,N,
노버든,영등포구,N,N,N,Y,N,
순수카츠,영등포구,N,Y,N,Y,Y,
오리총재,영등포구,N,N,N,Y,N,
한우황소곱창,영등포구,N,N,N,Y,N,
청정한우곱창,영등포구,N,N,N,Y,N,
더착한뒷고기,영등포구,N,N,N,N,N,
파파짬뽕,영등포구,Y,Y,N,Y,N,
루이국수,영등포구,N,N,N,Y,N,
종로계림닭도리탕원조,영등포구,Y,Y,N,Y,N,포장가능
골뱅이스쿨,영등포구,N,N,N,N,N,
하루떡,영등포구,Y,Y,N,Y,Y,
업스커피(UBS COFFEE),영등포구,N,N,N,N,N,
하겐다즈,영등포구,N,N,N,Y,N,
대지양다리점(大地羊腿店),영등포구,N,N,N,N,N,트립어드바이저
보스,영등포구,N,N,N,N,N,
안기수타면,영등포구,N,N,N,N,N,
우정커피호프,영등포구,N,N,N,N,N,
미스터왕왕(MR.王왕),영등포구,N,N,N,N,N,
동남집,영등포구,Y,N,N,Y,Y,
천지식당,영등포구,N,N,N,N,N,
고향맛집,구로구,N,N,N,Y,N,
옥자미식성,영등포구,N,N,N,Y,N,
야동꼬치,영등포구,N,N,N,N,N,
CAFE2892,영등포구,N,N,N,N,N,
봉구스밥버거여의도중앙점,영등포구,N,N,N,N,N,
등촌샤브칼국수,영등포구,N,N,N,N,N,포장가능
한우촌,영등포구,N,N,N,Y,N,
미스터비케이커피,영등포구,N,Y,N,Y,N,
이자카야나무,영등포구,N,N,N,N,N,
봉태민,영등포구,N,N,N,Y,N,
일미,영등포구,N,N,N,Y,N,
명륜진사갈비,영등포구,N,N,N,N,N,
진지방순대국&돈까스,영등포구,N,N,N,N,N,
은행골,영등포구,N,Y,N,Y,N,포장가능
계절식당&포차,영등포구,N,N,N,N,N,
땅땅치킨,영등포구,N,N,N,Y,N,포장가능
나카지마 고에몽,영등포구,Y,Y,N,Y,Y,
디디카페,영등포구,N,N,N,N,N,
낙곱새,영등포구,Y,Y,N,Y,Y,
초밥집,영등포구,N,N,N,Y,N,
주택커피,영등포구,Y,Y,N,N,N,
미국캘리포니아우육면,영등포구,N,N,N,Y,N,
동서네낙지,영등포구,N,Y,N,Y,N,포장가능
청학동빈대떡,영등포구,N,N,N,Y,N,
가양칼국수버섯매운탕,영등포구,Y,N,N,Y,N,"씨트립,트립어드바이저"
파리바게뜨,영등포구,N,N,N,Y,N,포장가능
상은 북어국,영등포구,N,N,N,Y,N,
서궁,영등포구,Y,N,N,Y,Y,"블루리본,트립어드바이저"
비비큐,영등포구,N,N,N,N,N,
김밥나라,영등포구,N,N,N,Y,N,
왕가네칼국수,영등포구,Y,N,N,Y,N,
명인만두,영등포구,N,N,N,N,N,
브레드컴퍼니쉐프조,영등포구,N,Y,N,Y,N,
신화식당,영등포구,N,N,N,Y,N,
원,영등포구,N,N,N,N,N,
카페오오디,영등포구,N,N,N,Y,N,
숙희식당,영등포구,N,N,N,N,N,
동북뀀성,영등포구,N,N,N,N,N,
고향역,영등포구,N,N,N,N,N,
오복,영등포구,N,N,N,N,N,
놀부보쌈과부대찌개,영등포구,N,N,N,Y,N,"트립어드바이저,포장가능"
신흥원,영등포구,Y,N,N,Y,N,
서울식다방,영등포구,N,N,N,N,N,
봉평메밀집,영등포구,Y,N,N,Y,N,트립어드바이저
한우집위,영등포구,Y,N,N,Y,N,"블루리본,트립어드바이저"
청도양꼬치,영등포구,N,Y,N,Y,N,"트립어드바이저,포장가능"
날씬한원숭이마라탕,영등포구,N,N,N,Y,N,
장터국밥,영등포구,N,N,N,N,N,
대초원꼬치,영등포구,N,N,N,Y,N,
엑스오엑스오,영등포구,N,N,N,N,N,
몰랑떡볶이,영등포구,N,N,N,Y,N,
오븐위고양이,영등포구,N,N,N,N,N,
단짠단짝,영등포구,N,N,N,Y,N,
오뎅,영등포구,N,N,N,N,N,
노랑통닭,영등포구,N,Y,N,Y,Y,포장가능
문래동카레,영등포구,N,Y,N,Y,N,
빵에빠지다,영등포구,N,N,N,N,N,
싸움의고수,영등포구,N,N,N,Y,N,포장가능
맛나두부,영등포구,N,N,N,N,N,
마니마리통닭,영등포구,N,N,N,Y,N,
쇼차이데,영등포구,N,N,N,N,N,
삼우치킨센타,영등포구,N,N,N,Y,N,트립어드바이저
떡볶기1942,영등포구,N,N,N,N,N,포장가능
영등포식당,영등포구,N,N,N,Y,N,
얼땅쟈,영등포구,N,Y,N,Y,Y,
희망양꼬치,영등포구,N,N,N,Y,N,
홍대앞왕동까스&돈부리&비어,영등포구,N,N,N,Y,N,
오시오집,영등포구,N,N,N,Y,N,
대복,영등포구,N,N,N,Y,N,
스마일플라워앤카페,영등포구,N,N,N,Y,N,
카페누아(CAFE NOIR),영등포구,N,N,N,N,N,
닭한마리,영등포구,N,N,N,N,N,
해연반점,영등포구,N,N,N,Y,N,
낭만치맥,영등포구,Y,N,N,Y,Y,포장가능
즉석바지락본가칼국수,영등포구,N,N,N,Y,N,트립어드바이저
일심해장국,영등포구,N,N,N,Y,N,
가마치통닭,영등포구,N,N,N,N,N,
이치류,영등포구,Y,Y,N,Y,Y,
스시원,영등포구,N,Y,N,Y,N,
돌복이네꼬막,영등포구,Y,N,N,Y,N,
밍 1956,영등포구,N,N,N,Y,N,
신텐디,영등포구,N,N,N,N,N,
장원 북어국,영등포구,N,N,N,Y,N,트립어드바이저
복성미식,영등포구,N,N,N,Y,N,
딱좋아,영등포구,N,N,N,Y,N,
대림골,영등포구,N,N,N,Y,N,
오봉구국수,영등포구,N,N,N,Y,N,트립어드바이저
대천부훠궈,영등포구,N,N,N,N,N,
일마지오,영등포구,Y,Y,N,Y,Y,"트립어드바이저,포장가능"
칸야,영등포구,N,N,N,Y,N,
부자촌,영등포구,N,N,N,Y,N,
형제정 왕소금구이,영등포구,N,N,N,Y,N,
두봉집,영등포구,N,N,N,Y,N,
더존식당,영등포구,N,N,N,Y,N,
모아다방,영등포구,N,Y,N,Y,N,
무진장쌈밥,영등포구,N,N,N,Y,N,
정호프,영등포구,N,N,N,N,N,
왕십리 엄마네 곱창,영등포구,N,N,N,Y,N,
순흥골,영등포구,N,N,N,Y,N,
남경,영등포구,N,N,N,N,N,
죽이야기,영등포구,N,N,N,Y,N,"안심식당,포장가능"
무의미,영등포구,N,Y,N,N,Y,
상진다방,영등포구,N,N,N,Y,N,
광명노다지,영등포구,N,N,N,Y,Y,
여의도숯닭,영등포구,N,N,N,N,N,
오락실내포차,영등포구,N,N,N,N,N,
연변왕꼬치,영등포구,N,Y,N,Y,Y,
미스터브리즈커피,영등포구,N,N,N,Y,N,
태양포차,영등포구,N,N,N,Y,N,
신복촌,영등포구,Y,Y,N,Y,Y,
강창구찹쌀진순대,영등포구,Y,N,N,Y,Y,포장가능
고기굽는 저녁,영등포구,N,N,N,Y,N,
유니크그램,영등포구,N,Y,N,Y,N,
매스커피,영등포구,N,Y,N,Y,Y,
더족발,영등포구,N,N,N,Y,N,
북만장,영등포구,N,N,N,Y,N,
다소유,영등포구,N,N,N,Y,N,
미원커피,영등포구,N,N,N,Y,N,
오삼볶음집,영등포구,N,Y,N,Y,Y,
정박사정육식당,영등포구,N,N,N,Y,N,
마더인디아,영등포구,Y,N,N,N,Y,
제주돈회관,영등포구,Y,N,N,Y,Y,포장가능
설쭈,영등포구,N,N,N,Y,N,
영덕물회,영등포구,Y,N,N,Y,N,
커피베이,영등포구,Y,N,N,Y,N,
청학동 떡볶이,영등포구,N,N,N,Y,N,트립어드바이저
목단강식당,영등포구,N,N,N,Y,N,
하얼빈반점,영등포구,N,N,N,Y,N,
연길순희냉면,영등포구,N,N,N,Y,N,
마리(Marie),영등포구,N,N,N,N,N,
방스만두전골,영등포구,Y,N,N,Y,Y,
윤스맘,영등포구,Y,Y,N,Y,Y,
임태희커피,영등포구,N,Y,N,N,Y,
5딸라,영등포구,N,N,N,N,N,
명동칼국수,영등포구,N,N,N,N,N,
국수나무영등포점knk,영등포구,N,N,N,N,N,
커피더캠프,영등포구,N,N,N,Y,N,
정미방뚝배기쌀국수,영등포구,N,N,N,N,N,
공만치킨,영등포구,Y,Y,N,Y,Y,포장가능
신전떡볶이,영등포구,Y,Y,N,Y,Y,포장가능
핵밥영등포역점,영등포구,N,N,N,N,N,
늘파니노,영등포구,N,N,N,Y,N,
양키스그릴,영등포구,N,N,N,Y,N,
디펍,영등포구,N,Y,N,N,N,
대세박목살,영등포구,N,Y,N,N,N,
오엔708,영등포구,Y,Y,N,Y,N,
물래,영등포구,N,Y,N,Y,N,
에이더블유씨,영등포구,N,Y,N,Y,N,
솔트(salt),영등포구,N,N,N,N,N,
론드,영등포구,Y,Y,N,Y,Y,
두찜,영등포구,N,N,N,Y,N,포장가능
메이커스유니온스퀘어,영등포구,N,Y,N,Y,N,
오한수우육면가미원빌딩점,영등포구,Y,N,N,N,N,포장가능
대림클라쓰,영등포구,N,N,N,N,N,
진가네찌개랑,영등포구,N,N,N,Y,N,
카페리치스,영등포구,N,N,N,Y,N,
크레이지토마토문래창작촌점,영등포구,N,N,N,N,N,
20세기삼겹살,영등포구,N,N,N,Y,Y,
포도술,영등포구,N,Y,N,Y,N,
신화양꼬치,영등포구,N,N,N,Y,N,
놀란호프,영등포구,N,N,N,Y,N,
호수식당,영등포구,N,N,N,Y,N,
담소 소사골 순대 육개장,영등포구,N,N,N,Y,N,
커피사피엔스문래1호점,영등포구,N,N,N,N,N,포장가능
한성삼계탕,영등포구,N,N,N,Y,N,트립어드바이저
카페14번지,영등포구,Y,Y,N,Y,Y,포장가능
카페보니또,영등포구,N,Y,N,Y,N,
투썸플레이스영등포구청역점,영등포구,N,N,N,N,N,
차이향,영등포구,N,N,N,Y,N,
베르두레(VERDURE),영등포구,N,N,N,N,N,
손큰원조할매순대국,영등포구,N,N,N,Y,N,포장가능
을지로골뱅이,영등포구,N,N,N,Y,N,
마늘치킨OB광장,영등포구,N,N,N,Y,N,
8번가찹쌀순대,영등포구,N,N,N,N,N,
삼포가는길,영등포구,N,N,N,Y,N,
명가생선구이,영등포구,N,N,N,Y,N,
킹콩쥬스&커피(KINGKONG JUICE &COFFEE),영등포구,N,N,N,N,N,
텐진라멘,영등포구,N,N,N,Y,N,
썬구이치킨,영등포구,Y,N,N,Y,Y,포장가능
쥬라기치킨,영등포구,N,N,N,N,N,
카페바뇨스,영등포구,N,Y,N,Y,N,
머머김밥,영등포구,N,N,N,Y,N,
고기 앤 고기,영등포구,N,N,N,N,N,포장가능
백촌막창,영등포구,N,N,N,N,N,
한성참숯양꼬치,영등포구,N,Y,N,Y,N,
전주콩나물국밥,영등포구,N,N,N,Y,N,
티지아이프라이데이스,영등포구,Y,Y,N,Y,N,트립어드바이저
김가네김밥,영등포구,N,N,N,Y,N,트립어드바이저
미소야,영등포구,N,N,N,Y,N,
더쥬스,영등포구,N,N,N,Y,N,
마음의온도,영등포구,N,N,N,N,N,
enter(엔터),영등포구,N,N,N,N,N,
장백산식당,영등포구,N,N,N,Y,N,
쥰식당,영등포구,N,N,N,N,N,
세이드트리,영등포구,N,N,N,Y,N,
일공육(106),영등포구,N,N,N,N,N,포장가능
미가꼬끼요,영등포구,N,N,N,Y,N,
소담골샤브칼국수,영등포구,N,N,N,Y,N,
권서방네순대국,영등포구,Y,N,N,Y,N,
등마루 족발연구소,영등포구,N,N,N,Y,N,
창평본가,영등포구,Y,N,N,Y,N,
이사효 짬뽕,영등포구,N,Y,N,Y,N,
연안식당,영등포구,N,Y,N,Y,N,포장가능
왕도야지 순댓국,영등포구,N,N,N,Y,N,
홍도해물탕,영등포구,N,N,N,Y,N,
복돼지 짬뽕,영등포구,N,N,N,Y,N,
육해공정육식당,영등포구,N,N,N,Y,N,
신풍양꼬치,영등포구,N,N,N,Y,N,
대영식당,영등포구,N,N,N,Y,N,
청년식당,영등포구,Y,Y,N,N,Y,
또봉이통닭,영등포구,N,N,N,Y,N,포장가능
79호프,영등포구,N,N,N,Y,N,
더프라이하우스,영등포구,N,N,N,Y,N,
왕가네복감자탕,영등포구,Y,N,N,Y,Y,
카페도림동,영등포구,N,Y,N,Y,N,
러스트베이커리,영등포구,N,Y,N,Y,N,
봉쥬르김밥,영등포구,N,N,N,Y,N,
화우연,영등포구,Y,Y,N,Y,Y,
홍정식당,영등포구,Y,Y,N,Y,Y,
서해쭈꾸미,영등포구,N,N,N,Y,N,
카페비플러스,영등포구,N,Y,N,N,N,
둘둘치킨,영등포구,N,N,N,N,N,
마장동일번지,영등포구,Y,N,N,Y,Y,
다미만두,영등포구,N,N,N,Y,N,
맛있는데이,영등포구,N,N,N,N,N,
일석삼조샤브매운탕,영등포구,N,N,N,Y,N,안심식당
해물명가 구룡포,영등포구,Y,N,N,Y,N,
포항물회,영등포구,N,N,N,Y,N,
명동칼국수,영등포구,Y,N,N,Y,N,트립어드바이저
전주본가콩나물국밥,영등포구,N,N,N,Y,N,트립어드바이저
