업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
반궁 목동파라곤점,"서울특별시 양천구 목동서로 155, 목동파라곤 지하 1층 101호 (목동)",한식,생선구이,114.73,목1동,226499240
리위엔(목동점),"서울특별시 양천구 목동서로 155, 목동파라곤 지하 1층 105호 (목동)",중국식,탕수육,122.45,목1동,220613885
교담집,"서울특별시 양천구 목동동로 260, 2층 201호 (목동, 양지타운)",한식,소고기,133.64,목1동,226468592
남원추어탕,"서울특별시 양천구 목동동로10길 17, 1~2층 (신정동)",한식,추어탕,208,신정2동,226433254
린궁즈,"서울특별시 양천구 목동동로8길 3, 2층 (신정동)",중국식,자장면,131.97,신정2동,226455999
동해진미,"서울특별시 양천구 목동중앙북로 89-6, 1층 (목동)",일식,회초밥,143.01,목2동,226480602
북해도,"서울특별시 양천구 오목로50길 37, 서홍빌딩 1층 (신정동)",일식,참치회,100,신정4동,220657147
신의주순대와쭈꾸미목동점,"서울특별시 양천구 목동동로 385, 1층 108호 (목동, 벽산미라지타워)",한식,순대국,156.18,목5동,226493339
곰달래감자탕,"서울특별시 양천구 남부순환로 368, 1층 (신월동)",한식,감자탕,156.48,신월3동,226083350
먹자대게,"서울특별시 양천구 목동서로 213, 세신비젼프라자 1층 108호 (목동)",한식,대게,165.23,목1동,226471500
향촌,"서울특별시 양천구 목동중앙서로 46, 지하 1층 (목동)",한식,돼지갈비,145,목4동,226539020
명륜진사갈비 염창점,"서울특별시 양천구 공항대로 626, 1층 (목동)",식육(숯불구이),돼지갈비,170.33,목2동,226467825
어촌마을,"서울특별시 양천구 오목로 58, 1층 (신월동)",한식,생선구이,219.28,신월2동,226908658
착한낙지목동점,"서울특별시 양천구 국회대로 289, 1층 (목동)",한식,낙지전골,309.57,목4동,226490112
