업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
한우본가갈비,"서울특별시 서대문구 홍은중앙로 81, (홍은동,동일아파트 상가1층 2,3호)",한식,,111.6,홍은제1동,
민스키친,"서울특별시 서대문구 연희맛로 7, (연희동)",한식,콩나물냉채,112.44,연희동,
사조미가,"서울특별시 서대문구 통일로 107-39, 2층 (충정로2가)",한식,정식,539.1,충현동,
춘향골 남원추어탕,"서울특별시 서대문구 연희로 262-17, (홍은동,가호)",한식,추어탕,72.73,홍은제2동,
강수사,"서울특별시 서대문구 연희로 157, (연희동, 1,2층)",일식,초밥.회정식,376.86,연희동,
하노이의아침,"서울특별시 서대문구 연희맛로 10, (연희동,지상1층)",기타,베트남음식,125,연희동,
평택고여사집냉면,"서울특별시 서대문구 연희로 81-9, (연희동,(지상1층))",한식,평양식 물냉면,90.06,연희동,
오계절 남원추어탕,"서울특별시 서대문구 연희로 267, 2층 (홍은동)",한식,추어탕,60.12,홍은제2동,
한방장수삼계탕,"서울특별시 서대문구 통일로 111, (미근동)",한식,삼계탕,144.82,충현동,
연화,"서울특별시 서대문구 통일로9안길 32, (충정로2가)",한식,,131.69,충현동,
한우명가,"서울특별시 서대문구 연희로 46-1, (연희동)",한식,소갈비,42.9,연희동,
함평면옥,"서울특별시 서대문구 성산로 533, 하늬솔빌딩 2층 (대신동)",한식,갈비탕,319.07,신촌동,
동강참치,"서울특별시 서대문구 연세로2길 79, (대현동)",일식,회정식,33.3,신촌동,
월순 철판 동태찜,"서울특별시 서대문구 연희맛로 17-14, 지상1층 (연희동)",한식,동태찜,120.39,연희동,
지호한방삼계탕 연희점,"서울특별시 서대문구 연희로25길 10, (연희동,(지하1층~지상1층))",한식,삼계탕,188.07,연희동,
닭한마리,"서울특별시 서대문구 연세로2길 77, (대현동)",한식,닭한마리,105,신촌동,
김인옥의 충정로 함흥냉면,"서울특별시 서대문구 충정로 7, 구세군빌딩 지하2층 1호 (충정로3가)",한식,냉면,379.55,충현동,
백년추어탕,"서울특별시 서대문구 증가로 9, (연희동)",한식,추어탕,75.9,연희동,
황토골 옹기집,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 117,118호 (충정로3가)",일식,오리훈제,93.57,충현동,
차이나,"서울특별시 서대문구 가좌로 142, (홍은동)",중국식,,192.48,홍은제2동,
황토골 옹기집,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 117,118호 (충정로3가)",일식,,93.57,충현동,
거북골숯불갈비,"서울특별시 서대문구 증가로 215, (북가좌동)",한식,한식,51.15,북가좌제2동,
벽제갈비,"서울특별시 서대문구 명물길 22, (창천동,,13-109, 13-114 (지하1층, 지상2,3층))",한식,소갈비,300.09,신촌동,
사조미가,"서울특별시 서대문구 통일로 107-39, 2층 (충정로2가)",한식,,539.1,충현동,
신원당감자탕,"서울특별시 서대문구 서소문로 63, (미근동)",분식,뼈해장국,188.76,충현동,
압구정샤브샤브,"서울특별시 서대문구 연대동문길 26, (대신동)",한식,샤브샤브,184.36,신촌동,
압구정샤브샤브,"서울특별시 서대문구 연대동문길 26, (대신동)",한식,한식,184.36,신촌동,
난향,"서울특별시 서대문구 신촌로 67, (창천동)",중국식,사천자장면,470.03,신촌동,
난향,"서울특별시 서대문구 신촌로 67, (창천동)",중국식,중식,470.03,신촌동,
난향,"서울특별시 서대문구 신촌로 67, (창천동)",중국식,자장면,470.03,신촌동,
주식회사 목란,"서울특별시 서대문구 연희로15길 21, (연희동)",한식,소등심,205.32,연희동,
주식회사 목란,"서울특별시 서대문구 연희로15길 21, (연희동)",한식,한식,205.32,연희동,
봉추찜닭 신촌점,"서울특별시 서대문구 명물길 27-23, (창천동,(지하1층~지상1층))",경양식,한식,70.56,신촌동,
백암,"서울특별시 서대문구 증가로 13-6, (연희동)",한식,한식,110.94,연희동,
장군보쌈,"서울특별시 서대문구 수색로 28-5, (남가좌동)",한식,보쌈,88.54,남가좌제1동,
장군보쌈,"서울특별시 서대문구 수색로 28-5, (남가좌동)",한식,한식,88.54,남가좌제1동,
삼호복집,"서울특별시 서대문구 연세로5다길 10, (창천동,(지상2,3층))",한식,일식,357.17,신촌동,
