식당명,업태명,주된음식,소재지도로명
대가설렁탕,기타,설렁탕,"서울특별시 마포구 신촌로 254, 1,2층 (아현동)"
아이엠베이글 공덕점,기타,카페,"서울특별시 마포구 백범로 152, 101동 15호 (공덕동, 공덕파크자이)"
담소리,기타,피자,"서울특별시 마포구 동교로 267, 2층 (연남동)"
홍정기참치,기타,"생선회, 참치초밥","서울특별시 마포구 동교로27길 47, 제이드빌(Jade) 2층 (연남동)"
알렉산더리,기타,-,"서울특별시 마포구 백범로24길 5-6, (염리동)"
마포청학동부침개2,기타,-,"서울특별시 마포구 만리재로 23, (공덕동, 2층)"
생생칼국수&돈까스,기타,"칼국수, 돈까스","서울특별시 강북구 도봉로 370, 1층 (번동)"
중랑맛집 신쭈꾸미,기타,쭈꾸미 볶음,"서울특별시 중랑구 동일로109길 71, 1층 (면목동)"
바지락손칼국수,기타,칼국수,"서울특별시 중랑구 용마산로 464, 1층 (망우동)"
능이마을 사가정점,기타,능이오리,"서울특별시 중랑구 면목로39길 24, (면목동)"
초식곳간,기타,-,"서울특별시 서대문구 이화여대2가길 19, 1층 (대현동)"
하노이의아침,기타,베트남음식,"서울특별시 서대문구 연희맛로 10, (연희동,지상1층)"
